dataset,scenario,method,round,mean_oui,var_oui,beta_alpha,beta_beta,score_mode
cifar10,cifar10_dirichlet_0.1_extended,fedavg,24,0.2181640625,0.0055655558904012,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,25,0.2083007812499999,0.0059472560882568,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,26,0.2115559895833333,0.0089950164159139,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,27,0.2072265625,0.004989210764567,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,28,0.2001627604166666,0.0080463091532389,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,29,0.2266276041666667,0.0030180136362711,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,30,0.1862630208333333,0.0059084018071492,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,31,0.1963541666666667,0.0037871360778808,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,32,0.2193684895833333,0.007864753405253,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,33,0.2320963541666666,0.0034899950027465,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,34,0.2273111979166666,0.0085851192474365,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,35,0.2164388020833333,0.008532691001892,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,36,0.2429361979166666,0.0062049229939778,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,37,0.2377278645833333,0.0082118352254231,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,38,0.2421549479166666,0.0097308953603108,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,39,0.2415690104166666,0.007186206181844,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,40,0.2291341145833333,0.0125770330429077,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,41,0.2427408854166667,0.0033702055613199,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,42,0.2293294270833333,0.0080302079518636,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,43,0.250390625,0.0042907794316609,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,44,0.2405924479166666,0.0036272923151652,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,45,0.2412760416666667,0.0063445647557576,,,
